11 1
36 3
61 5
86 4
111 6
136 7
161 6
186 6
211 7
236 8
261 10
286 12
311 11
336 12
361 14
386 15
411 14
436 12
461 9
486 7
511 8
536 10
561 8
586 6
611 6
636 8
661 7
686 9
711 10
736 8
761 7
786 10
811 8
836 6
861 5
886 4
911 2
936 1
961 0
986 0
1011 2
1036 1
1061 3
1086 4
1111 3
1136 4
1161 5
1186 6
1211 8
1236 9
1261 10
1286 11
1311 10
1336 9
1361 10
1386 12
1411 11
1436 12
1461 14
1486 15
1511 13
1536 12
1561 11
1586 10
1611 9
1636 7
1661 6
1686 6
1711 5
1736 4
1761 3
1786 4
1811 2
1836 1
1861 2
1886 3
1911 2
1936 0
